filename,green_pct,action
109423313.jpg,93.17,M
109823318.jpg,64.0,M
110356977.jpg,77.64,M
110523305.jpg,69.19,M
110689974.jpg,58.14,M
110823356.jpg,61.64,M
110956651.jpg,51.9,M
111123301.jpg,65.99,M
111256635.jpg,66.84,M
111389963.jpg,63.82,M
118623255.jpg,89.49,M
118789933.jpg,77.06,M
118923235.jpg,67.98,M
119056570.jpg,65.77,M
119223244.jpg,86.82,M
119356591.jpg,83.8,M
119523239.jpg,75.9,M
119656570.jpg,73.66,M
119789907.jpg,67.83,M
123823207.jpg,7.92,N
126623186.jpg,7.42,N
126789841.jpg,4.15,N
126923172.jpg,4.56,N
127089873.jpg,4.88,N
127223175.jpg,6.43,N
127356530.jpg,12.56,N
132289800.jpg,77.1,M
132456489.jpg,78.11,M
132589798.jpg,82.61,M
132756510.jpg,76.69,M
133123623.jpg,86.18,M
133456458.jpg,80.15,M
133623125.jpg,69.81,M
133756467.jpg,78.91,M
133889830.jpg,71.91,M
134056457.jpg,84.72,M
140989734.jpg,89.96,M
141123103.jpg,84.47,M
141289728.jpg,78.29,M
145723033.jpg,90.11,M
145889703.jpg,89.89,M
146023038.jpg,88.83,M
146189688.jpg,90.3,M
146323030.jpg,87.98,M
146489687.jpg,89.94,M
146623017.jpg,88.92,M
146789686.jpg,89.17,M
146923020.jpg,90.58,M
147056364.jpg,91.47,M
147189682.jpg,92.09,M
147356348.jpg,88.59,M
147489682.jpg,88.96,M
147656343.jpg,91.0,M
147789680.jpg,92.49,M
147923012.jpg,92.07,M
148056353.jpg,93.02,M
148223012.jpg,90.8,M
148356342.jpg,90.26,M
148523043.jpg,90.92,M
148656336.jpg,91.74,M
148823002.jpg,90.98,M
148956335.jpg,90.05,M
149122997.jpg,92.17,M
149256332.jpg,96.61,M
149423013.jpg,98.67,M
149556347.jpg,97.62,M
149722994.jpg,96.58,M
149856332.jpg,96.23,M
150023033.jpg,96.67,M
150156332.jpg,96.21,M
150322992.jpg,96.3,M
150456318.jpg,95.49,M
150623123.jpg,93.82,M
150756344.jpg,92.91,M
150923007.jpg,88.42,M
151056330.jpg,86.57,M
151222985.jpg,89.37,M
151356317.jpg,88.57,M
151489650.jpg,90.66,M
151656318.jpg,87.61,M
151789649.jpg,86.43,M
151956307.jpg,85.83,M
152089647.jpg,88.5,M
152256311.jpg,91.33,M
152423000.jpg,91.35,M
152556320.jpg,94.01,M
152722969.jpg,93.76,M
152856305.jpg,95.09,M
153023010.jpg,94.2,M
153189648.jpg,92.77,M
153322966.jpg,92.56,M
153489636.jpg,90.27,M
153656305.jpg,88.57,M
153789640.jpg,89.07,M
158889577.jpg,97.6,M
160222915.jpg,97.96,M
160356257.jpg,96.06,M
160522912.jpg,95.84,M
160656252.jpg,96.15,M
